tweet_id,author_id,inbound,created_at,text,response_by_tweet_id,in_response_to_tweet_id
200,user_200,True,Tue Oct 31 22:10:00 +0000 2017,@AppleSupport My iPhone screen went completely black after the latest update and won't turn on!,201,
201,AppleSupport,False,Tue Oct 31 22:15:00 +0000 2017,"@user_200 We're here to help! Try a forced restart by pressing Volume Up, Volume Down, then hold Power button.",,200
202,user_202,True,Tue Oct 31 22:12:00 +0000 2017,@AppleSupport My iPhone 11 battery drains from 100% to 10% in just two hours. Is this a hardware glitch?,203,
203,AppleSupport,False,Tue Oct 31 22:18:00 +0000 2017,"@user_202 Battery health is vital. Check Settings > Battery > Battery Health, and send us a DM with your iOS version.",,202
204,user_204,True,Tue Oct 31 22:20:00 +0000 2017,"@AppleSupport Ever since updating to iOS 17, WiFi keeps disconnecting every few minutes.",205,
205,AppleSupport,False,Tue Oct 31 22:25:00 +0000 2017,@customer_3 Let's fix that. Go to Settings > General > Transfer or Reset > Reset Network Settings.,,204
206,user_206,True,Tue Oct 31 22:30:00 +0000 2017,@AppleSupport My phone is stuck on the Apple logo during software update. What should I do?,207,
207,AppleSupport,False,Tue Oct 31 22:35:00 +0000 2017,@customer_4 Connect to Finder/iTunes on a Mac/PC and enter Recovery Mode to restore or update your device.,,206
208,user_208,True,Tue Oct 31 22:40:00 +0000 2017,@AppleSupport Forgot my Apple ID password and security questions. Cannot sign into iCloud.,209,
209,AppleSupport,False,Tue Oct 31 22:45:00 +0000 2017,@customer_5 You can reset your password securely at iforgot.apple.com or via the Support app on a trusted device.,,208
210,user_210,True,Tue Oct 31 22:50:00 +0000 2017,@AppleSupport My iCloud storage says full even after deleting hundreds of photos!,211,
211,AppleSupport,False,Tue Oct 31 22:55:00 +0000 2017,@customer_6 Photos stay in 'Recently Deleted' for 30 days. Be sure to empty that folder in the Photos app.,,210
212,user_212,True,Tue Oct 31 23:00:00 +0000 2017,@AppleSupport I was double charged for my Apple Music subscription this month! I want a refund.,213,
213,AppleSupport,False,Tue Oct 31 23:05:00 +0000 2017,@customer_7 We can help review charges. Please visit reportaproblem.apple.com to check purchase history and request a refund.,,212
214,user_214,True,Tue Oct 31 23:10:00 +0000 2017,@AppleSupport How do I cancel an app subscription that renewed automatically today?,215,
215,AppleSupport,False,Tue Oct 31 23:15:00 +0000 2017,"@customer_8 Go to Settings > [Your Name] > Subscriptions, tap the subscription, and select Cancel Subscription.",,214
216,user_216,True,Tue Oct 31 23:20:00 +0000 2017,@AppleSupport Left AirPod Pro won't connect or charge in the case.,217,
217,AppleSupport,False,Tue Oct 31 23:25:00 +0000 2017,"@customer_9 Clean the charging contacts inside the case and AirPod stem, then hold the setup button on case to reset.",,216
218,user_218,True,Tue Oct 31 23:30:00 +0000 2017,@AppleSupport Can I book a Genius Bar appointment for screen replacement online?,219,
219,AppleSupport,False,Tue Oct 31 23:35:00 +0000 2017,@user_2180 Yes! You can schedule an appointment via support.apple.com or the Apple Support iOS app.,,218
220,user_220,True,Tue Oct 31 22:10:00 +0000 2017,@AppleSupport My iPhone screen went completely black after the latest update and won't turn on!,221,
221,AppleSupport,False,Tue Oct 31 22:15:00 +0000 2017,"@user_220 We're here to help! Try a forced restart by pressing Volume Up, Volume Down, then hold Power button.",,220
222,user_222,True,Tue Oct 31 22:12:00 +0000 2017,@AppleSupport My iPhone 11 battery drains from 100% to 10% in just two hours. Is this a hardware glitch?,223,
223,AppleSupport,False,Tue Oct 31 22:18:00 +0000 2017,"@user_222 Battery health is vital. Check Settings > Battery > Battery Health, and send us a DM with your iOS version.",,222
224,user_224,True,Tue Oct 31 22:20:00 +0000 2017,"@AppleSupport Ever since updating to iOS 17, WiFi keeps disconnecting every few minutes.",225,
225,AppleSupport,False,Tue Oct 31 22:25:00 +0000 2017,@customer_3 Let's fix that. Go to Settings > General > Transfer or Reset > Reset Network Settings.,,224
226,user_226,True,Tue Oct 31 22:30:00 +0000 2017,@AppleSupport My phone is stuck on the Apple logo during software update. What should I do?,227,
