id,message,true_intent,expected_action,expected_reply_points,notes
gold_001,@AppleSupport My iPhone screen went completely black after the latest update and won't turn on!,software_update,AUTO-HANDLE,Connect to computer; enter Recovery Mode via iTunes or Finder to update/restore.,candidate_for_human_verification - Curated AppleSupport domain example
gold_002,"@AppleSupport Since updating to iOS 17.2, my WiFi disconnects every 5 minutes continuously.",software_update,AUTO-HANDLE,Reset Network Settings in Settings > General > Transfer or Reset iPhone.,candidate_for_human_verification - Curated AppleSupport domain example
gold_003,@AppleSupport Phone stuck on black screen with spinning wheel during system update.,software_update,AUTO-HANDLE,Connect to computer; enter Recovery Mode via iTunes or Finder to update/restore.,candidate_for_human_verification - Curated AppleSupport domain example
gold_004,@AppleSupport Camera app freezes and shows a black view after installing latest update.,software_update,AUTO-HANDLE,Force quit camera app; restart phone; reset all settings if issue persists.,candidate_for_human_verification - Curated AppleSupport domain example
gold_005,@AppleSupport Can I downgrade from iOS 17 back to iOS 16 without losing my data?,software_update,AUTO-HANDLE,Downgrading is generally not supported once signing ends; backup before restoring.,candidate_for_human_verification - Curated AppleSupport domain example
gold_006,@AppleSupport Bluetooth disconnects every time I start a phone call post update.,software_update,AUTO-HANDLE,Forget Bluetooth device and re-pair; reset network settings.,candidate_for_human_verification - Curated AppleSupport domain example
gold_007,@AppleSupport Apps lock up immediately upon launch on iOS 17.1.,software_update,AUTO-HANDLE,Check App Store for pending app updates; reinstall affected apps.,candidate_for_human_verification - Curated AppleSupport domain example
gold_008,@AppleSupport Keyboard lag is unbearable when typing long messages after update.,software_update,AUTO-HANDLE,Reset Keyboard Dictionary in Settings > General > Transfer or Reset.,candidate_for_human_verification - Curated AppleSupport domain example
gold_009,@AppleSupport Notification sounds stopped working completely post update.,software_update,AUTO-HANDLE,Verify Focus modes and Do Not Disturb switches; check Alert volumes.,candidate_for_human_verification - Curated AppleSupport domain example
gold_010,@AppleSupport iPhone reboots every 10 minutes continuously since updating last night.,software_update,AUTO-HANDLE,Perform force restart; check analytics for kernel panic logs.,candidate_for_human_verification - Curated AppleSupport domain example
gold_011,@AppleSupport AirDrop fails to detect nearby Apple devices after the recent update.,software_update,AUTO-HANDLE,Toggle AirDrop permissions to 'Everyone for 10 Minutes'; reset network settings.,candidate_for_human_verification - Curated AppleSupport domain example
gold_012,@AppleSupport Cellular data icon disappeared from control center on iOS 17.,software_update,AUTO-HANDLE,Check Carrier Settings Update in Settings > General > About.,candidate_for_human_verification - Curated AppleSupport domain example
gold_013,@AppleSupport Safari keeps crashing whenever I open a new tab on iPadOS.,software_update,AUTO-HANDLE,Clear history and website data in Settings > Safari.,candidate_for_human_verification - Curated AppleSupport domain example
gold_014,@AppleSupport Apple Music app won't open after updating my phone software.,software_update,AUTO-HANDLE,Restart iPhone; offload and reinstall the Apple Music application.,candidate_for_human_verification - Curated AppleSupport domain example
gold_015,@AppleSupport Face ID stopped working and says 'Not Available' after update.,software_update,AUTO-HANDLE,Force restart iPhone; inspect true depth camera for obstruction.,candidate_for_human_verification - Curated AppleSupport domain example
gold_016,@AppleSupport Screen brightness stays at minimum level and auto-brightness is broken post patch.,software_update,AUTO-HANDLE,Toggle Auto-Brightness off/on under Accessibility > Display & Text Size.,candidate_for_human_verification - Curated AppleSupport domain example
gold_017,@AppleSupport Storage space shows 'Other System Data' consuming 40GB after update.,software_update,AUTO-HANDLE,Backup device to iCloud/Mac and restore via Recovery Mode.,candidate_for_human_verification - Curated AppleSupport domain example
gold_018,@AppleSupport Haptic keyboard feedback stopped responding after system update.,software_update,AUTO-HANDLE,Ensure Haptic is enabled under Settings > Sounds & Haptics > Keyboard Feedback.,candidate_for_human_verification - Curated AppleSupport domain example
gold_019,@AppleSupport CarPlay disconnects every time screen locks post iOS 17 update.,software_update,AUTO-HANDLE,Forget car connection in CarPlay settings and pair again via USB/Bluetooth.,candidate_for_human_verification - Curated AppleSupport domain example
gold_020,@AppleSupport Control Center layout reset to default after updating.,software_update,AUTO-HANDLE,Reconfigure Control Center items in Settings > Control Center.,candidate_for_human_verification - Curated AppleSupport domain example
gold_021,@AppleSupport Voicemail notification badge won't clear after listening to messages.,software_update,AUTO-HANDLE,Reset network settings or contact carrier to refresh voicemail box.,candidate_for_human_verification - Curated AppleSupport domain example
gold_022,@AppleSupport Battery health percentage dropped 5% overnight after software patch.,software_update,AUTO-HANDLE,Battery health recalibrates post update; monitor over 48 hours.,candidate_for_human_verification - Curated AppleSupport domain example
gold_023,@AppleSupport Personal Hotspot connection drops every 2 minutes after update.,software_update,AUTO-HANDLE,Toggle 'Maximize Compatibility' in Personal Hotspot settings.,candidate_for_human_verification - Curated AppleSupport domain example
gold_024,@AppleSupport Screen orientation auto-rotate is stuck in portrait mode.,software_update,AUTO-HANDLE,Check Portrait Orientation Lock in Control Center; restart device.,candidate_for_human_verification - Curated AppleSupport domain example
gold_025,@AppleSupport StandBy mode feature not activating when phone is charging sideways.,software_update,AUTO-HANDLE,Verify StandBy switch under Settings > StandBy; use MagSafe charger.,candidate_for_human_verification - Curated AppleSupport domain example
gold_026,@AppleSupport iMessage reactions and stickers failing to send after patch.,software_update,AUTO-HANDLE,Sign out of iMessage in Settings > Messages and sign back in.,candidate_for_human_verification - Curated AppleSupport domain example
gold_027,@AppleSupport Phone call audio sounds muffled through internal earpiece post update.,software_update,AUTO-HANDLE,Inspect earpiece mesh for debris; turn off Phone Noise Cancellation.,candidate_for_human_verification - Curated AppleSupport domain example
gold_028,@AppleSupport Mail app not fetching new emails automatically in background.,software_update,AUTO-HANDLE,Check Fetch New Data settings in Settings > Mail > Accounts.,candidate_for_human_verification - Curated AppleSupport domain example
gold_029,@AppleSupport Lock Screen widgets showing blank boxes after updating.,software_update,AUTO-HANDLE,Remove and re-add widgets on Lock Screen editing menu.,candidate_for_human_verification - Curated AppleSupport domain example
gold_030,@AppleSupport Update verification failed error appears every time I tap Install.,software_update,AUTO-HANDLE,Delete software update file from iPhone Storage and redownload.,candidate_for_human_verification - Curated AppleSupport domain example
gold_031,@AppleSupport My iPhone 13 screen went pitch black after dropping it on concrete.,hardware_battery,ESCALATE,Inspect physical screen damage; direct to Genius Bar repair appointment.,candidate_for_human_verification - Curated AppleSupport domain example
gold_032,@AppleSupport Battery drops from 80% to 15% in less than 30 minutes of mild usage.,hardware_battery,AUTO-HANDLE,Check Settings > Battery > Battery Health; send DM if capacity < 80%.,candidate_for_human_verification - Curated AppleSupport domain example
gold_033,@AppleSupport Phone gets extremely hot to touch while charging on official Apple MagSafe charger.,hardware_battery,AUTO-HANDLE,Remove heavy case; check charging temperature; disconnect if prompt appears.,candidate_for_human_verification - Curated AppleSupport domain example
gold_034,@AppleSupport My iPhone won't turn on at all after remaining plugged in overnight.,hardware_battery,AUTO-HANDLE,"Perform force restart (Volume Up, Volume Down, hold Side button).",candidate_for_human_verification - Curated AppleSupport domain example
gold_035,@AppleSupport Phone back glass shattered into pieces after falling out of my pocket.,hardware_battery,ESCALATE,Direct to apple.com/support/repair for out-of-warranty replacement options.,candidate_for_human_verification - Curated AppleSupport domain example
gold_036,@AppleSupport Battery percentage gets stuck at 80% while charging overnight.,hardware_battery,AUTO-HANDLE,Optimized Battery Charging holds charge at 80% until needed; check settings.,candidate_for_human_verification - Curated AppleSupport domain example
gold_037,@AppleSupport Lightning charging port feels loose and cable drops out constantly.,hardware_battery,ESCALATE,Inspect port for lint gently or visit Apple Store for physical port repair.,candidate_for_human_verification - Curated AppleSupport domain example
gold_038,@AppleSupport iPhone screen has a permanent dark yellow tint near top left corner.,hardware_battery,AUTO-HANDLE,"Turn off True Tone/Night Shift; if tint persists, hardware inspection needed.",candidate_for_human_verification - Curated AppleSupport domain example
gold_039,@AppleSupport Device swelling from back cover near battery area. Is this safe?,hardware_battery,ESCALATE,Stop using device immediately; disconnect charger; bring to Apple Store.,candidate_for_human_verification - Curated AppleSupport domain example
gold_040,@AppleSupport Camera lens glass cracked after dropping phone on rocks.,hardware_battery,ESCALATE,Schedule repair appointment at nearest Apple Authorized Service Provider.,candidate_for_human_verification - Curated AppleSupport domain example
gold_041,@AppleSupport Phone vibrates continuously when plugged into wall charger.,hardware_battery,AUTO-HANDLE,Check charging brick/cable compatibility; clean charging port.,candidate_for_human_verification - Curated AppleSupport domain example
gold_042,@AppleSupport Volume up physical button is stuck inside frame and won't click.,hardware_battery,ESCALATE,Requires physical button mechanism repair at Genius Bar.,candidate_for_human_verification - Curated AppleSupport domain example
gold_043,@AppleSupport Battery drain is very high while using GPS navigation in car.,hardware_battery,AUTO-HANDLE,GPS navigation uses heavy processing; use car charger while navigating.,candidate_for_human_verification - Curated AppleSupport domain example
gold_044,@AppleSupport Submerged phone in ocean water and speaker output sounds distorted.,hardware_battery,ESCALATE,Dry device completely; do not charge while wet; seek hardware service.,candidate_for_human_verification - Curated AppleSupport domain example
gold_045,@AppleSupport Battery maximum capacity reads 74% and says Service recommended.,hardware_battery,AUTO-HANDLE,Battery is degraded below standard 80%; recommend battery replacement.,candidate_for_human_verification - Curated AppleSupport domain example
gold_046,@AppleSupport Display panel shows pink lines running vertically down screen after drop.,hardware_battery,ESCALATE,Internal display panel damage; book Genius Bar screen replacement.,candidate_for_human_verification - Curated AppleSupport domain example
gold_047,@AppleSupport Wireless charging pad not detecting my iPhone through standard case.,hardware_battery,AUTO-HANDLE,Ensure case thickness is under 3mm and contains no metal components.,candidate_for_human_verification - Curated AppleSupport domain example
gold_048,@AppleSupport Power button snapped off side of device chassis.,hardware_battery,ESCALATE,Physical housing damage requiring hardware repair appointment.,candidate_for_human_verification - Curated AppleSupport domain example
gold_049,@AppleSupport Device shuts down unexpectedly whenever battery drops to 20%.,hardware_battery,AUTO-HANDLE,Battery peak performance capability compromised; check battery health.,candidate_for_human_verification - Curated AppleSupport domain example
gold_050,@AppleSupport Screen lifting away from aluminum frame near volume buttons.,hardware_battery,ESCALATE,Potential battery expansion; stop charging and visit Genius Bar.,candidate_for_human_verification - Curated AppleSupport domain example
gold_051,@AppleSupport Flashlight LED won't turn on and icon is grayed out.,hardware_battery,AUTO-HANDLE,Restart iPhone; verify device temperature is not too high.,candidate_for_human_verification - Curated AppleSupport domain example
gold_052,@AppleSupport Dropped phone in sink and touch screen no longer responds to touch.,hardware_battery,ESCALATE,Liquid damage triage; schedule in-person diagnostic test.,candidate_for_human_verification - Curated AppleSupport domain example
gold_053,@AppleSupport Battery drains fast only when using cellular 5G network.,hardware_battery,AUTO-HANDLE,Switch cellular voice & data option to 5G Auto or LTE in Settings.,candidate_for_human_verification - Curated AppleSupport domain example
gold_054,@AppleSupport Rear camera optical image stabilization buzzing loudly when opening app.,hardware_battery,ESCALATE,Hardware camera OIS module fault requiring module repair.,candidate_for_human_verification - Curated AppleSupport domain example
gold_055,@AppleSupport Phone display flickers briefly when turning screen lock on/off.,hardware_battery,AUTO-HANDLE,Adjust True Tone settings; restart phone.,candidate_for_human_verification - Curated AppleSupport domain example
gold_056,@AppleSupport Cracked front glass glass cuts fingers when swiping.,hardware_battery,ESCALATE,Schedule screen replacement appointment immediately.,candidate_for_human_verification - Curated AppleSupport domain example
gold_057,@AppleSupport Charging cable gets very hot to touch near Lightning connector.,hardware_battery,AUTO-HANDLE,Replace damaged charging cable immediately with MFi certified accessory.,candidate_for_human_verification - Curated AppleSupport domain example
gold_058,@AppleSupport Battery percentage drops 10% instantly upon unplugging from charger.,hardware_battery,AUTO-HANDLE,Calibrate battery gauge by full discharge and unbroken 100% recharge.,candidate_for_human_verification - Curated AppleSupport domain example
gold_059,@AppleSupport Speaker grill emits smoke or burning smell during fast charging.,hardware_battery,ESCALATE,Unplug immediately; disconnect power; contact Apple Support safety team.,candidate_for_human_verification - Curated AppleSupport domain example
gold_060,@AppleSupport Screen flickers yellow when brightness is turned below 20%.,hardware_battery,AUTO-HANDLE,Turn off Night Shift; test display in standard lighting conditions.,candidate_for_human_verification - Curated AppleSupport domain example
gold_061,@AppleSupport Forgot my Apple ID password and locked out of primary account.,account_icloud,ESCALATE,Direct to iforgot.apple.com; escalate due to account security verification.,candidate_for_human_verification - Curated AppleSupport domain example
gold_062,@AppleSupport iCloud storage shows full 50GB occupied even after deleting photos.,account_icloud,AUTO-HANDLE,Empty 'Recently Deleted' album in Photos; check iCloud Backup sizes.,candidate_for_human_verification - Curated AppleSupport domain example
gold_063,@AppleSupport I am not receiving the 2FA verification codes sent to my trusted phone number.,account_icloud,ESCALATE,Check carrier SMS blocking; direct to account recovery flow at iforgot.apple.com.,candidate_for_human_verification - Curated AppleSupport domain example
gold_064,@AppleSupport Someone logged into my Apple ID from another country! Account compromised!,account_icloud,ESCALATE,Change password immediately; revoke unknown trusted devices at appleid.apple.com.,candidate_for_human_verification - Curated AppleSupport domain example
gold_065,@AppleSupport How do I upgrade my iCloud storage plan from 50GB to 200GB?,account_icloud,AUTO-HANDLE,Go to Settings > [Your Name] > iCloud > Manage Account Storage > Change Storage Plan.,candidate_for_human_verification - Curated AppleSupport domain example
gold_066,@AppleSupport Account Recovery request says it will take 3 days. Can you speed it up?,account_icloud,ESCALATE,Account recovery automated security wait period cannot be manually bypassed.,candidate_for_human_verification - Curated AppleSupport domain example
gold_067,@AppleSupport Photos stopped syncing to iCloud across my Mac and iPad.,account_icloud,AUTO-HANDLE,Verify iCloud Photos is toggled ON under Settings > [Your Name] > iCloud > Photos.,candidate_for_human_verification - Curated AppleSupport domain example
gold_068,@AppleSupport Locked out of Apple ID due to typing incorrect password too many times.,account_icloud,ESCALATE,Reset password at iforgot.apple.com to unlock account access.,candidate_for_human_verification - Curated AppleSupport domain example
gold_069,@AppleSupport How do I share my 2TB iCloud+ storage plan with my Family Sharing group?,account_icloud,AUTO-HANDLE,Go to Settings > Family > Subscriptions > iCloud+ > Share with Family.,candidate_for_human_verification - Curated AppleSupport domain example
gold_070,@AppleSupport Cannot sign out of iCloud because Sign Out button is grayed out.,account_icloud,ESCALATE,Disable Screen Time restriction under Content & Privacy Restrictions.,candidate_for_human_verification - Curated AppleSupport domain example
gold_071,@AppleSupport How do I turn off iCloud Keychain password auto-fill on my phone?,account_icloud,AUTO-HANDLE,Toggle Keychain off under Settings > [Your Name] > iCloud > Passwords and Keychain.,candidate_for_human_verification - Curated AppleSupport domain example
gold_072,@AppleSupport My trusted device phone number was changed by unauthorized hacker.,account_icloud,ESCALATE,Escalate to Apple ID Fraud & Security Escalation team.,candidate_for_human_verification - Curated AppleSupport domain example
gold_073,@AppleSupport Can I merge two separate Apple ID accounts into one unified account?,account_icloud,AUTO-HANDLE,Apple ID accounts cannot be merged; transfer data manually or use Family Sharing.,candidate_for_human_verification - Curated AppleSupport domain example
gold_074,@AppleSupport iCloud Mail address receiving heavy spam emails. How to filter?,account_icloud,AUTO-HANDLE,Set up email rules in icloud.com mail web console.,candidate_for_human_verification - Curated AppleSupport domain example
gold_075,@AppleSupport My iCloud Backup failed because of insufficient network connection.,account_icloud,AUTO-HANDLE,Connect to stable Wi-Fi network and plug iPhone into power source.,candidate_for_human_verification - Curated AppleSupport domain example
gold_076,@AppleSupport Forgot security questions for legacy Apple ID account created in 2012.,account_icloud,ESCALATE,Direct to iforgot.apple.com or verify identity with security team.,candidate_for_human_verification - Curated AppleSupport domain example
gold_077,@AppleSupport How do I download a complete copy of all my data stored in iCloud?,account_icloud,AUTO-HANDLE,Visit privacy.apple.com and select 'Request a copy of your data'.,candidate_for_human_verification - Curated AppleSupport domain example
gold_078,@AppleSupport Activation Lock screen appears on refurbished phone bought second-hand.,account_icloud,ESCALATE,Requires original purchase receipt or seller to remove device from Find My.,candidate_for_human_verification - Curated AppleSupport domain example
gold_079,@AppleSupport iCloud Drive files not appearing in Files app on iOS.,account_icloud,AUTO-HANDLE,Ensure iCloud Drive is enabled in Settings > [Your Name] > iCloud.,candidate_for_human_verification - Curated AppleSupport domain example
gold_080,@AppleSupport Security key hardware token lost for Apple ID Advanced Data Protection.,account_icloud,ESCALATE,"Without trusted security key or recovery key, account access cannot be restored.",candidate_for_human_verification - Curated AppleSupport domain example
gold_081,@AppleSupport How do I change the primary email address associated with my Apple ID?,account_icloud,AUTO-HANDLE,Sign in to appleid.apple.com and edit 'Sign-In and Security' email.,candidate_for_human_verification - Curated AppleSupport domain example
